City,Outlet Name,URL,Notes
"Glendale, AZ",Joyce Clark Unfiltered,http://joyceclarkunfiltered.com/,
"Glendale, AZ",KTAR FM 92.3,http://ktar.com/,
"Glendale, AZ",Glendale Star,http://www.glendalestar.com/,
"Glendale, AZ",KLNZ FM 103.5,http://www.tricolor1035.com/,
"Glendale, AZ",KHOT 105.9 FM,http://www.univision.com/arizona/khot,
"Glendale, AZ",Glendale Today (on YourWestValley.com; redirect),http://www.yourwestvalley.com/your_town/glendale/,
"Glendale, AZ",Visit Glendale and the West Valley,https://visitglendale.wordpress.com/,
"Glendale, CA",Glendale Daily Planet,http://glendaledailyplanet.com/,
"Glendale, CA",KPXQ AM 1360,http://www.faithtalk1360.com/,
"Glendora, CA",Glendora City News,http://glendoracitynews.com/,
"Glendora, CA",Glendora Patch,http://patch.com/california/glendora,
"Glendora, CA",Glendora Community News,http://www.glendoracommunitynews.com/,
"Glendora, CA",San Gabriel Valley Examiner,http://www.sgvexaminer.com/home.htm,
"Glendora,CA",San Gabriel Valley Tribune (Glendora/San Dimas/La Verne Highlander),http://www.sgvtribune.com/,
"Golden Valley, MN",K214DF 90.7 FM,http://myfaithradio.com/,
"Golden Valley, MN",Golden Valley Patch,http://patch.com/minnesota/goldenvalley,
"Golden Valley, MN",New Hope-Golden Valley Sun Post,http://post.mnsun.com/new-hope/,
"Golden Valley, MN",KDIZ AM 1570,http://twincitieswellnessradio.com/,
"Golden Valley, MN",KQRS-FM 92.5,http://www.92kqrs.com/,
"Golden Valley, MN",KYCR AM 1440,http://www.twincitiesbusinessradio.com/,
"Grand Rapids, MI",WBFX FM 101.3,http://1013thebrew.iheart.com/,
"Grand Rapids, MI",3ABN,http://3abn.org/,
"Grand Rapids, MI",W231DD 94.1 FM (WVIC Lansing rebroadcast),http://941theduke.com/,
"Grand Rapids, MI",WBCT FM 93.7,http://b93.iheart.com/,
"Grand Rapids, MI",WBLU FM 88.9,http://bluelake.org/radio/index.php,
"Grand Rapids, MI",WMAX AM 1440,http://espn961.iheart.com/,
"Grand Rapids, MI",WXMI TV 17,http://fox17online.com/,
"Grand Rapids, MI",Lazo Cultural,http://lazocultural.com/,
"Grand Rapids, MI",WJWC-LP,http://life973.com/,
"Grand Rapids, MI",WSNH-LP 103.9,http://loveatthecross.com/,
"Grand Rapids, MI",WVGR FM 104.1,http://michiganradio.org/,
"Grand Rapids, MI",W227CG 93.3 FM,http://miradiopoderosa.com/,
"Grand Rapids, MI",WLHT-FM 95.7,http://mychannel957.com/,
"Grand Rapids, MI",WTRV-FM,http://rivergrandrapids.com/,
"Grand Rapids, MI","Great Lakes, Great Times, Great Scott",http://scottyurb.blogspot.com/,
"Grand Rapids, MI",WNWZ 1410 AM,http://touch1410.com/,
"Grand Rapids, MI",WSRW FM 105.7,http://westmichiganstar.iheart.com/,
"Grand Rapids, MI",WFGR FM 98.7,http://wfgr.com/,
"Grand Rapids, MI",WGRD-FM 97.9,http://wgrd.com/,
"Grand Rapids, MI",WGVU AM 1480,http://wgvu2.org/realoldies/,
"Grand Rapids, MI",WOOD AM 1300,http://woodradio.iheart.com/,
"Grand Rapids, MI",WOOD TV 8,http://woodtv.com/,
"Grand Rapids, MI",WOTV TV 4,http://wotv4women.com/,
"Grand Rapids, MI",WTKG AM 1230,http://wtkg.iheart.com/,
"Grand Rapids, MI",WJRW AM 1340,http://www.1340wjrw.com/,
"Grand Rapids, MI",W252DG 98.3 FM (WLCS rebroadcast),http://www.983wlcs.com/,
